"fipscounty","AAR_county","AAR_norm","decile","bottom_decile","upper_decile","negative_shock","positive_shock","unaffected","aar_category","quartile","bottom_quartile","upper_quartile"
40047,-0.0012094122008378,0.532626250900403,8,"0","0",0,0,"1","1",4,"0","1"
40049,0.0273070524073187,0.771067788654677,9,"0","0",0,0,"1","1",4,"0","1"
40051,-0.0663873640743278,-0.0123617511517111,6,"0","0",0,0,"1","1",3,"0","0"
40053,0.187791307685473,2.11296318626745,10,"0","1",0,1,"0","2",4,"0","1"
40055,-0.0249697233468843,0.333953476942201,8,"0","0",0,0,"1","1",3,"0","0"
40057,0.0718394565663603,1.14342723339944,10,"0","1",0,0,"1","1",4,"0","1"
40059,0.0623257484713718,1.06387798986293,10,"0","1",0,0,"1","1",4,"0","1"
40061,0.0536583293268148,0.991405024592269,9,"0","0",0,0,"1","1",4,"0","1"
40063,-0.0053272609238821,0.498194697225923,8,"0","0",0,0,"1","1",4,"0","1"
40065,-0.06733900404458,-0.0203189261035617,6,"0","0",0,0,"1","1",3,"0","0"
40067,-0.0213762428604841,0.364000505030744,8,"0","0",0,0,"1","1",3,"0","0"
40069,-0.00933965277765278,0.464644925301806,8,"0","0",0,0,"1","1",4,"0","1"
40071,-0.0659482801856379,-0.00869033398759314,6,"0","0",0,0,"1","1",3,"0","0"
40073,0.0691820192188887,1.12120696674564,10,"0","1",0,0,"1","1",4,"0","1"
40075,-0.0187684444293574,0.385805713937783,8,"0","0",0,0,"1","1",3,"0","0"
40077,0.0430397789526052,0.902617598986096,9,"0","0",0,0,"1","1",4,"0","1"
40079,0.00325788882600644,0.569979763724967,9,"0","0",0,0,"1","1",4,"0","1"
40081,0.0158299534758625,0.675101575599234,9,"0","0",0,0,"1","1",4,"0","1"
40083,-0.024452616556691,0.338277285658713,8,"0","0",0,0,"1","1",3,"0","0"
